campaign_id,campaign_name,start_date,end_date,channel,budget,impressions,clicks,conversions,roi_percent
8001,Summer Sale 2023,2023-06-01,2023-06-30,Email,5000,125000,3500,280,18.5
8002,New Product Launch,2023-07-01,2023-07-31,Social Media,8000,450000,15200,1240,31.2
8003,Flash Sale Weekend,2023-07-15,2023-07-17,Email,2000,85000,4200,340,42.0
8004,Back to School,2023-08-01,2023-08-31,Display Ads,12000,680000,22500,1850,28.7
8005,Holiday Bundle,2023-09-01,2023-09-30,SEO,6000,320000,18000,1450,35.8
8006,Loyalty Program,2023-10-01,2023-10-31,Email,4500,95000,5600,420,24.0
8007,Black Friday Prep,2023-11-01,2023-11-24,Social Media,15000,1200000,48000,3650,22.3
8008,Customer Appreciation,2023-11-25,2023-11-30,Email,3000,65000,3200,210,12.0
8009,Cyber Monday,2023-12-01,2023-12-04,Display Ads,10000,580000,26500,2100,33.0
8010,Year End Clearance,2023-12-10,2023-12-31,All Channels,20000,1500000,75000,5800,29.0
